Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Cluster_Label,prob_alive,predicted_purchases_12m,avg_order_value,clv_12m,clv_tier
12346,326,1,77183.6,1,1,5,115,Can't Lose Them,3,🟢 Promising Mid-Tier,1.0,0.41,77183.6,31616.55,Platinum
12347,2,7,4310.0,5,5,5,555,Champions,2,🏆 High Value Active,0.9999,5.66,615.71,22908.09,Platinum
12348,75,4,1437.24,2,4,4,244,At Risk,3,🟢 Promising Mid-Tier,0.9995,3.04,359.31,7227.96,Gold
12349,19,1,1457.55,4,1,4,414,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,1457.55,597.05,Silver
12350,310,1,294.4,1,1,2,112,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,294.4,120.59,Bronze
12352,36,7,1385.74,3,5,4,354,Loyal Customers,3,🟢 Promising Mid-Tier,0.9998,5.66,197.96,7415.87,Gold
12353,204,1,89.0,1,1,1,111,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,89.0,36.46,Bronze
12354,232,1,1079.4,1,1,4,114,Can't Lose Them,0,❄️  Inactive / Lost,1.0,0.41,1079.4,442.15,Bronze
12355,214,1,459.4,1,1,2,112,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,459.4,188.18,Bronze
12356,23,3,2487.43,4,3,5,435,Loyal Customers,3,🟢 Promising Mid-Tier,0.9995,2.16,829.14,11832.52,Platinum
12357,33,1,6207.67,4,1,5,415,New Customers,3,🟢 Promising Mid-Tier,1.0,0.41,6207.67,2542.83,Silver
12358,2,2,928.06,5,2,4,524,New Customers,1,🟢 Promising Mid-Tier,0.9987,1.28,464.03,4018.83,Gold
12359,58,4,6372.58,3,4,5,345,Loyal Customers,3,🟢 Promising Mid-Tier,0.9996,3.04,1593.14,31772.8,Platinum
12360,52,3,2302.06,3,3,5,335,Loyal Customers,3,🟢 Promising Mid-Tier,0.9994,2.16,767.35,10956.12,Platinum
12361,287,1,174.9,1,1,1,111,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,174.9,71.64,Bronze
12362,3,10,4737.23,5,5,5,555,Champions,2,🏆 High Value Active,0.9999,8.29,473.72,25783.28,Platinum
12363,110,2,552.0,2,2,3,223,Need Attention,0,❄️  Inactive / Lost,0.9979,1.28,276.0,2430.24,Silver
12364,8,4,1208.1,5,4,4,544,Champions,1,🟢 Promising Mid-Tier,0.9997,3.04,302.02,6089.8,Gold
12365,291,1,320.69,1,1,2,112,Hibernating,0,❄️  Inactive / Lost,1.0,0.41,320.69,131.36,Bronze
12367,4,1,150.9,5,1,1,511,New Customers,1,🟢 Promising Mid-Tier,1.0,0.41,150.9,61.81,Bronze
12370,51,4,3425.69,3,4,5,345,Loyal Customers,3,🟢 Promising Mid-Tier,0.9996,3.04,856.42,17117.83,Platinum
12371,60,1,1527.96,3,1,4,314,Need Attention,3,🟢 Promising Mid-Tier,1.0,0.41,1527.96,625.89,Silver
12372,72,3,1196.04,3,3,4,334,Loyal Customers,3,🟢 Promising Mid-Tier,0.9994,2.16,398.68,5733.28,Gold
